date,BidPrice-BSV,BidVolume-BSV,AskPrice-BSV,AskVolume-BSV,BidPrice-BTC,BidVolume-BTC,AskPrice-BTC,AskVolume-BTC,BidPrice-EOS,BidVolume-EOS,AskPrice-EOS,AskVolume-EOS,BidPrice-ETH,BidVolume-ETH,AskPrice-ETH,AskVolume-ETH,BidPrice-BAB,BidVolume-BAB,AskPrice-BAB,AskVolume-BAB,BidPrice-LTC,BidVolume-LTC,AskPrice-LTC,AskVolume-LTC,BidPrice-NEO,BidVolume-NEO,AskPrice-NEO,AskVolume-NEO,BidPrice-XRP,BidVolume-XRP,AskPrice-XRP,AskVolume-XRP
2019-11-03 07:58:18.119835,132.07,1058.4663769,132.33,1279.39352495,9300.0,87.71797459999999,9300.1,35.18526368000001,3.3283,33932.93873722,3.3294,48849.97460505,183.9,976.96584997,183.94,1139.90107108,295.17,666.20474189,295.37,575.7962962,58.276,2520.601766850001,58.29,2599.8733436400007,10.963,4574.192916980001,10.964,2348.47503921,0.294,329972.18849144,0.29404,449893.33313891
2019-11-03 07:58:18.685791,132.07,1058.4663769,132.33,1279.39352495,9300.0,87.71797459999999,9300.1,35.18526368000001,3.3283,33932.93873722,3.3294,48849.97460505,183.9,976.96584997,183.94,1139.90107108,295.17,663.43887495,295.35,665.11252302,58.276,2520.601766850001,58.29,2599.8733436400007,10.963,4574.192916980001,10.964,2348.47503921,0.294,329972.18849144,0.29404,449893.33313891
2019-11-03 07:58:18.907792,132.11,1132.89562008,132.29,887.49346086,9300.0,87.71797459999999,9300.1,35.18526368000001,3.3283,33932.93873722,3.3294,48849.97460505,183.9,976.96584997,183.94,1139.90107108,295.17,663.43887495,295.35,665.11252302,58.276,2520.601766850001,58.29,2599.8733436400007,10.963,4574.192916980001,10.964,2348.47503921,0.294,329972.18849144,0.29404,449893.33313891
2019-11-03 07:58:20.996835,132.11,1132.89562008,132.29,887.49346086,9300.0,87.71797459999999,9300.1,35.18526368000001,3.3283,33932.93873722,3.3294,48849.97460505,183.9,976.96584997,183.94,1139.90107108,295.17,663.43887495,295.35,665.11252302,58.276,2520.601766850001,58.29,2599.8733436400007,10.963,4574.192916980001,10.964,2348.47503921,0.294,329972.18849144,0.29404,449893.33313891
2019-11-03 07:58:22.421793,132.11,1132.89562008,132.29,887.49346086,9300.0,87.71797459999999,9300.1,35.18526368000001,3.3283,33932.93873722,3.3294,48849.97460505,183.9,976.96584997,183.94,1139.90107108,295.17,663.43887495,295.35,665.11252302,58.276,2520.601766850001,58.29,2599.8733436400007,10.963,4574.192916980001,10.964,2348.47503921,0.294,329972.18849144,0.29404,449893.33313891
2019-11-03 07:58:22.979795,132.11,1132.89562008,132.29,887.49346086,9300.0,87.71797459999999,9300.1,35.18526368000001,3.3283,33932.93873722,3.3294,48849.97460505,183.9,976.96584997,183.94,1139.90107108,295.17,663.43887495,295.35,665.11252302,58.276,2520.601766850001,58.29,2599.8733436400007,10.963,4574.192916980001,10.964,2348.47503921,0.294,329972.18849144,0.29404,449893.33313891
2019-11-03 07:58:26.097815,132.11,1132.89562008,132.29,887.49346086,9300.0,87.71797459999999,9300.1,35.18526368000001,3.3283,33932.93873722,3.3294,48849.97460505,183.9,976.96584997,183.94,1139.90107108,295.17,663.43887495,295.35,665.11252302,58.276,2520.601766850001,58.29,2599.8733436400007,10.963,4574.192916980001,10.964,2348.47503921,0.294,329972.18849144,0.29404,449893.33313891
2019-11-03 07:58:27.117837,132.11,1132.89562008,132.29,887.49346086,9300.0,87.71797459999999,9300.1,35.18526368000001,3.3283,33932.93873722,3.3294,48849.97460505,183.9,976.96584997,183.94,1139.90107108,295.17,663.43887495,295.35,665.11252302,58.276,2520.601766850001,58.29,2599.8733436400007,10.963,4574.192916980001,10.964,2348.47503921,0.294,329972.18849144,0.29404,449893.33313891
2019-11-03 07:58:27.511821,132.11,1132.89562008,132.29,887.49346086,9300.0,87.71797459999999,9300.1,35.18526368000001,3.3283,33932.93873722,3.3294,48849.97460505,183.9,976.96584997,183.94,1139.90107108,295.17,663.43887495,295.35,665.11252302,58.276,2520.601766850001,58.29,2599.8733436400007,10.963,4574.192916980001,10.964,2348.47503921,0.294,329972.18849144,0.29404,449893.33313891
2019-11-03 07:58:27.677799,132.11,1132.89562008,132.29,887.49346086,9300.0,87.71797459999999,9300.1,35.18526368000001,3.3283,33932.93873722,3.3294,48849.97460505,183.9,976.96584997,183.94,1139.90107108,295.17,663.43887495,295.35,665.11252302,58.276,2520.601766850001,58.29,2599.8733436400007,10.963,4574.192916980001,10.964,2348.47503921,0.294,329972.18849144,0.29404,449893.33313891
